,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
1,,"Withering Gamer","2021-11-16 12:29:47",0,no,no,"This song has so much potential",UC0G6RFMT_SMo4VbcAU4aAog,Ugz3R9p0hrJ6CssaWxJ4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=Ugz3R9p0hrJ6CssaWxJ4AaABAg
2,,Luke,"2021-11-16 12:31:58",0,no,no,Underrated,UCGd-FYXgdMyd_AWR-419PeQ,Ugzo3T6x5SF87xgdEtV4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=Ugzo3T6x5SF87xgdEtV4AaABAg
3,,"𝕜𝕚𝕓𝕠𝕦. 𝕩𝕚","2021-11-16 12:52:53",0,no,no,"stan YouTube recommendations because this was recommended to me sheeeeeeeeeeeeeeeesh all i can say is underrated lol i agree with the comments about saying this song is a hidden gem.",UCfKFLhZR4sPBnozwqQFri0Q,UgzS2FV_fxhpSHtxaU94AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgzS2FV_fxhpSHtxaU94AaABAg
4,,Morbid,"2021-11-16 22:25:06",0,no,no,"Yoo.. I can't stop listening to this...Finding this was a pure blessing",UCfEzPTVehwFtXqWuIyGmxkw,UgxGsvCpi89G5pK3V1N4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgxGsvCpi89G5pK3V1N4AaABAg
5,,"kamayki yamberla","2021-11-17 02:32:37",1,no,no,"es la mejor canción<3 ,solo espero q no la quemen en tik tok",UCVvqjEtn60MNijUIOlhrXqQ,UgwBH806Pv4L-8sWCEt4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgwBH806Pv4L-8sWCEt4AaABAg
6,,"Marvel Agbabiaka","2021-11-17 04:12:50",0,no,no,✝️,UC9tO40APuQbXvc4blMWDpLQ,UgzdD8L71h8iH7jHD794AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgzdD8L71h8iH7jHD794AaABAg
7,,"mah tal","2021-11-17 06:25:43",0,no,no,"still underrated",UCKWaBf8lNDN6-FiCw7lYPVQ,Ugz-A_y-tbKK8tECV294AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=Ugz-A_y-tbKK8tECV294AaABAg
8,,"Justin Lape","2021-11-17 08:22:46",1,no,no,"POV: you Can from TikTok 😭😭",UCS52cglKFAkELe80HabHIhg,Ugz1TXvvYzS87bnbVel4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=Ugz1TXvvYzS87bnbVel4AaABAg
9,,тнσr,"2021-11-17 13:02:50",0,no,no,"escuchenla con auriculares (audifonos)",UC49J4NMYUvK1xJReQOI1vRA,UgytUsJitcndxyNTzRF4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgytUsJitcndxyNTzRF4AaABAg
10,,"Andy Chauca","2021-11-17 14:31:45",0,no,no,"I love is song ;(",UC1Fskkmsg4PDr5suk2SZBfA,UgzdzGuWxeOvPgwRqUJ4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgzdzGuWxeOvPgwRqUJ4AaABAg
11,,"Doray Santos","2021-11-17 15:00:06",0,no,no,"18k?! What ,heres a subscribed👍",UCzz652e_Fq2ptoP1uQB5XYA,UgxPDcFPoIg7X1naX5Z4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgxPDcFPoIg7X1naX5Z4AaABAg
12,,Gustav0,"2021-11-17 15:58:28",0,no,no,"Bom pra caralho",UC9fla8kj8-u8bEFdEnUa-0Q,UgwBJzUdWJpnSEC7OB94AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgwBJzUdWJpnSEC7OB94AaABAg
13,,Qaiou,"2021-11-17 16:53:51",0,no,no,"I thought this was a Spanish song",UCOlXGnaQeSGoeV-Eah8MHEA,Ugx0qZZrR_vBYmr7zSl4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=Ugx0qZZrR_vBYmr7zSl4AaABAg
14,,april43,"2021-11-17 18:49:23",0,no,no,"my fav lullaby",UCs-8q6-u2h4Ka1gEk2HwtnQ,UgwUNcACwoY0rCpi0px4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgwUNcACwoY0rCpi0px4AaABAg
15,,Jimmy,"2021-11-18 01:12:12",0,no,no,"Found this song on Tiktok, and imma be fr tiktoks got some legendary songs except for some overplayed songs, i hope to keep this song a hidden gem forever",UC--H6rhjs1ay86cGfH_JM9A,UgyanoT5NcPE--E7VpJ4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgyanoT5NcPE--E7VpJ4AaABAg
16,,"Naimi lol","2021-11-18 01:48:50",0,no,no,"me trying to run away from my problenms",UC05vklu8KmNDXf7ZO9YisYQ,Ugxm786DoandjG6Wnxl4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=Ugxm786DoandjG6Wnxl4AaABAg
17,,ᴴᵒⁿᵉʸ♤ᵇᵃᵇᵉ.,"2021-11-18 03:16:20",0,no,no,"Escuché esta canción en el estado de una amiga lo tarareé en google y me salió d1, que piola 
Qué buen servicio.⭐⭐⭐⭐⭐",UCmz_Vz3AZXv7lZ5dWYa4KyA,UgwuM9DSzomtJa5xUQV4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgwuM9DSzomtJa5xUQV4AaABAg
18,,"Carlos E","2021-11-18 03:16:58",0,no,no,"Thanks TikTok",UCkwzon8vpykkMkZu1OqXLYw,Ugxor3_u0dK0GFW96-94AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=Ugxor3_u0dK0GFW96-94AaABAg
19,,"T R U N K S •","2021-11-18 05:24:33",0,no,no,"it's normal 🙃.",UCE9soQ2Y3oxyKM1YCrL-YWg,UgyGsgBs85Nf00P-Sod4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgyGsgBs85Nf00P-Sod4AaABAg
20,,DnightO,"2021-11-18 07:38:19",0,no,no,"I remember when this had 80,000 views how did it get 400 ?",UCPQsVtUtIG1KjnysIyA-Asw,Ugxxl-qx27SQUVfu6nx4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=Ugxxl-qx27SQUVfu6nx4AaABAg
21,,"Saint Cyber","2021-11-18 08:36:27",0,no,no,"Favorite somg",UC87op4XX6as69SeZi8llX_g,UgwujgXwRU0s8dqdwAt4AaABAg,https://www.youtube.com/watch?v=PD1EXJScA6k&lc=UgwujgXwRU0s8dqdwAt4AaABAg
